Date Entered,Full Name,Lead Status,Transaction Side,Source,Expected or Actual Close Date, Actual Sale Price ,Referral Fee %,Commission %,Agent Split %, Gross Commission , Net Commisson 
05/08/2021,Carroll Wilkerson,Lost,Buyer,Open House,06/22/2021," $7,47,669.00 ",25.00%,2.50%,80.00%," $14,019.00 "," $11,215.00 "
05/09/2021,Timothy Paul,Hot,Seller,Client Referral,06/23/2021," $7,15,443.00 ",70.00%,3.00%,80.00%," $6,439.00 "," $5,151.00 "
05/12/2021,Benny Diaz,In Contract,Buyer,Facebook Ads,06/26/2021," $8,58,505.00 ",30.00%,2.00%,80.00%," $12,019.00 "," $9,615.00 "
05/15/2021,Nelson Sharp,Active,Buyer,Sphere of Influence,06/29/2021," $9,40,014.00 ",70.00%,3.00%,80.00%," $8,460.00 "," $6,768.00 "
05/18/2021,Austin Garza,Active,Buyer,Direct Mail,07/02/2021," $8,04,176.00 ",30.00%,3.50%,80.00%," $19,702.00 "," $15,762.00 "
05/20/2021,Dale Mckinney,In Contract,Buyer,Facebook Ads,07/04/2021," $6,63,000.00 ",50.00%,2.00%,80.00%," $6,630.00 "," $5,304.00 "
05/20/2021,Salvatore Mcbride,In Contract,Buyer,Facebook Ads,07/04/2021," $6,78,980.00 ",30.00%,2.00%,80.00%," $9,506.00 "," $7,605.00 "
05/21/2021,Jeffery Sherman,Lost,Seller,Facebook Ads,07/05/2021," $6,85,173.00 ",50.00%,2.50%,80.00%," $8,565.00 "," $6,852.00 "
05/31/2021,Steve Gray,Hot,Seller,Facebook Ads,07/15/2021," $8,14,345.00 ",25.00%,2.50%,80.00%," $15,269.00 "," $12,215.00 "
06/03/2021,Arthur Ray,Hot,Buyer,Other Referrals,07/18/2021," $6,98,352.00 ",70.00%,3.50%,80.00%," $7,333.00 "," $5,866.00 "
06/05/2021,Ron Lane,Closed,Buyer,Other Referrals,07/20/2021," $8,78,916.00 ",70.00%,2.00%,80.00%," $5,273.00 "," $4,219.00 "
06/05/2021,Otis Jacobs,Lost,Seller,Other Referrals,07/20/2021," $8,84,484.00 ",30.00%,3.50%,80.00%," $21,670.00 "," $17,336.00 "
06/11/2021,Raul Tucker,Closed,Buyer,Client Referral,07/26/2021," $8,79,209.00 ",25.00%,2.00%,80.00%," $13,188.00 "," $10,551.00 "
06/16/2021,Elijah Roy,Active,Buyer,Direct Mail,07/31/2021," $6,83,437.00 ",25.00%,2.50%,80.00%," $12,814.00 "," $10,252.00 "
06/16/2021,Joey Daniel,Hot,Buyer,Other Referrals,07/31/2021," $8,91,737.00 ",30.00%,2.50%,80.00%," $15,605.00 "," $12,484.00 "
06/22/2021,Cecil Dawson,In Contract,Buyer,Facebook Ads,08/06/2021," $8,51,345.00 ",30.00%,3.50%,80.00%," $20,858.00 "," $16,686.00 "
06/23/2021,Wilfred Logan,Hot,Buyer,Open House,08/07/2021," $9,34,142.00 ",25.00%,2.00%,80.00%," $14,012.00 "," $11,210.00 "
06/24/2021,Charles Kelley,Active,Buyer,Open House,08/08/2021," $7,40,145.00 ",25.00%,2.00%,80.00%," $11,102.00 "," $8,882.00 "
07/01/2021,Clarence Hammond,Hot,Seller,Sphere of Influence,08/15/2021," $9,34,831.00 ",25.00%,3.00%,80.00%," $21,034.00 "," $16,827.00 "
07/09/2021,Seth Green,Warm,Buyer,Open House,08/23/2021," $9,07,450.00 ",25.00%,3.00%,80.00%," $20,418.00 "," $16,334.00 "
07/12/2021,Roosevelt Hale,Active,Buyer,Facebook Ads,08/26/2021," $8,57,349.00 ",25.00%,2.50%,80.00%," $16,075.00 "," $12,860.00 "
07/13/2021,Jessie Bishop,Closed,Seller,Purchased Lead,08/27/2021," $8,54,465.00 ",50.00%,3.00%,80.00%," $12,817.00 "," $10,254.00 "
07/15/2021,Moses Curry,Hot,Buyer,Direct Mail,08/29/2021," $7,82,581.00 ",25.00%,3.50%,80.00%," $20,543.00 "," $16,434.00 "
07/16/2021,Frank Guzman,Lost,Seller,Facebook Ads,08/30/2021," $7,02,427.00 ",70.00%,2.50%,80.00%," $5,268.00 "," $4,215.00 "
07/22/2021,Sammy Lewis,In Contract,Buyer,Facebook Ads,09/05/2021," $8,65,203.00 ",50.00%,2.50%,80.00%," $10,815.00 "," $8,652.00 "
07/23/2021,Gilbert Mckenzie,Closed,Buyer,Other Referrals,09/06/2021," $8,17,250.00 ",50.00%,2.50%,80.00%," $10,216.00 "," $8,173.00 "
07/28/2021,Brett Chavez,Active,Buyer,Other Referrals,09/11/2021," $7,62,829.00 ",50.00%,3.50%,80.00%," $13,350.00 "," $10,680.00 "
07/28/2021,Ricardo Wise,Warm,Seller,Purchased Lead,09/11/2021," $6,63,677.00 ",70.00%,2.00%,80.00%," $3,982.00 "," $3,186.00 "
08/01/2021,Robert Cunningham,Closed,Seller,Purchased Lead,09/15/2021," $8,50,171.00 ",30.00%,3.00%,80.00%," $17,854.00 "," $14,283.00 "
08/03/2021,Nicolas Graham,Lost,Buyer,Facebook Ads,09/17/2021," $6,98,482.00 ",25.00%,2.00%,80.00%," $10,477.00 "," $8,382.00 "
08/04/2021,Matt Lowe,Active,Seller,Sphere of Influence,09/18/2021," $6,75,439.00 ",25.00%,2.00%,80.00%," $10,132.00 "," $8,105.00 "
08/12/2021,Wallace Griffith,Hot,Seller,Open House,09/26/2021," $8,54,830.00 ",25.00%,2.50%,80.00%," $16,028.00 "," $12,822.00 "
08/14/2021,Kelly Kim,Closed,Seller,Purchased Lead,09/28/2021," $9,02,171.00 ",30.00%,3.50%,80.00%," $22,103.00 "," $17,683.00 "
08/17/2021,Bennie Jennings,Warm,Seller,Purchased Lead,10/01/2021," $9,33,001.00 ",25.00%,2.50%,80.00%," $17,494.00 "," $13,995.00 "
08/18/2021,Darnell Yates,Lost,Seller,Direct Mail,10/02/2021," $7,02,645.00 ",50.00%,2.00%,80.00%," $7,026.00 "," $5,621.00 "
08/19/2021,Marcus Cox,Active,Buyer,Client Referral,10/03/2021," $9,25,857.00 ",30.00%,2.50%,80.00%," $16,202.00 "," $12,962.00 "
08/21/2021,Erick Ross,Closed,Buyer,Direct Mail,10/05/2021," $7,86,094.00 ",30.00%,2.50%,80.00%," $13,757.00 "," $11,005.00 "
08/21/2021,Alexander Patton,Lost,Seller,Client Referral,10/05/2021," $6,98,739.00 ",30.00%,2.00%,80.00%," $9,782.00 "," $7,826.00 "
08/21/2021,Alberto Schneider,Warm,Seller,Other Referrals,10/05/2021," $7,48,715.00 ",70.00%,3.00%,80.00%," $6,738.00 "," $5,391.00 "
08/21/2021,Toby Reynolds,Warm,Seller,Open House,10/05/2021," $7,14,326.00 ",25.00%,3.00%,80.00%," $16,072.00 "," $12,858.00 "
08/23/2021,Jesse Richardson,Warm,Seller,Client Referral,10/07/2021," $7,27,055.00 ",50.00%,2.50%,80.00%," $9,088.00 "," $7,271.00 "
08/28/2021,Keith Day,Closed,Buyer,Direct Mail,10/12/2021," $7,93,406.00 ",50.00%,3.00%,80.00%," $11,901.00 "," $9,521.00 "
09/02/2021,Eddie Mann,Closed,Buyer,Direct Mail,10/17/2021," $7,11,244.00 ",50.00%,3.50%,80.00%," $12,447.00 "," $9,957.00 "
09/07/2021,Tommy Wood,Warm,Seller,Open House,10/22/2021," $8,05,648.00 ",50.00%,2.00%,80.00%," $8,056.00 "," $6,445.00 "
09/10/2021,Jeff Cummings,Closed,Buyer,Open House,10/25/2021," $8,80,616.00 ",25.00%,3.50%,80.00%," $23,116.00 "," $18,493.00 "
09/11/2021,Tyrone Schultz,Hot,Seller,Purchased Lead,10/26/2021," $8,62,302.00 ",70.00%,3.50%,80.00%," $9,054.00 "," $7,243.00 "
09/13/2021,Evan Wheeler,Warm,Buyer,Direct Mail,10/28/2021," $8,47,968.00 ",25.00%,2.00%,80.00%," $12,720.00 "," $10,176.00 "
09/18/2021,Kelvin Bush,Closed,Buyer,Facebook Ads,11/02/2021," $8,80,338.00 ",25.00%,3.00%,80.00%," $19,808.00 "," $15,846.00 "
09/19/2021,Christopher Christensen,Closed,Buyer,Facebook Ads,11/03/2021," $9,37,786.00 ",70.00%,3.00%,80.00%," $8,440.00 "," $6,752.00 "
09/20/2021,Donald Watson,Warm,Seller,Open House,11/04/2021," $8,98,634.00 ",70.00%,2.50%,80.00%," $6,740.00 "," $5,392.00 "
09/26/2021,Willis Harper,Active,Seller,Other Referrals,11/10/2021," $6,61,517.00 ",70.00%,2.50%,80.00%," $4,961.00 "," $3,969.00 "
09/30/2021,Enrique Jackson,In Contract,Seller,Sphere of Influence,11/14/2021," $8,68,459.00 ",30.00%,3.00%,80.00%," $18,238.00 "," $14,590.00 "
10/01/2021,Cesar Caldwell,Warm,Seller,Open House,11/15/2021," $9,34,024.00 ",30.00%,2.50%,80.00%," $16,345.00 "," $13,076.00 "
10/01/2021,Mark Elliott,Hot,Seller,Sphere of Influence,11/15/2021," $8,28,233.00 ",30.00%,3.50%,80.00%," $20,292.00 "," $16,233.00 "
10/10/2021,Aaron Aguilar,Active,Buyer,Client Referral,11/24/2021," $7,79,894.00 ",25.00%,2.00%,80.00%," $11,698.00 "," $9,359.00 "
10/16/2021,Harold Tran,In Contract,Buyer,Open House,11/30/2021," $8,95,333.00 ",25.00%,3.00%,80.00%," $20,145.00 "," $16,116.00 "
10/18/2021,Oscar Palmer,Active,Buyer,Open House,12/02/2021," $6,97,803.00 ",70.00%,3.00%,80.00%," $6,280.00 "," $5,024.00 "
10/20/2021,Seth West,In Contract,Buyer,Client Referral,12/04/2021," $9,02,936.00 ",70.00%,2.00%,80.00%," $5,418.00 "," $4,334.00 "
10/20/2021,Frederick Torres,Hot,Seller,Direct Mail,12/04/2021," $8,62,691.00 ",50.00%,2.00%,80.00%," $8,627.00 "," $6,902.00 "
10/25/2021,Daryl Leonard,Lost,Seller,Facebook Ads,12/09/2021," $7,38,460.00 ",50.00%,2.50%,80.00%," $9,231.00 "," $7,385.00 "
10/30/2021,Gary Marshall,In Contract,Seller,Facebook Ads,12/14/2021," $7,87,451.00 ",25.00%,2.50%,80.00%," $14,765.00 "," $11,812.00 "
11/07/2021,Bryant Wilkerson,Lost,Seller,Facebook Ads,12/22/2021," $8,61,215.00 ",70.00%,3.00%,80.00%," $7,751.00 "," $6,201.00 "
11/09/2021,Delbert Webb,Warm,Seller,Sphere of Influence,12/24/2021," $8,12,205.00 ",30.00%,3.50%,80.00%," $19,899.00 "," $15,919.00 "
11/10/2021,Raul Guzman,Warm,Buyer,Facebook Ads,12/25/2021," $9,23,325.00 ",30.00%,2.50%,80.00%," $16,158.00 "," $12,927.00 "
11/13/2021,Merle Sims,Closed,Buyer,Other Referrals,12/28/2021," $9,25,053.00 ",70.00%,3.50%,80.00%," $9,713.00 "," $7,770.00 "
11/14/2021,Noah Olson,Hot,Buyer,Facebook Ads,12/29/2021," $7,70,773.00 ",30.00%,2.00%,80.00%," $10,791.00 "," $8,633.00 "
11/14/2021,Glen Coleman,In Contract,Seller,Sphere of Influence,12/29/2021," $9,14,582.00 ",30.00%,3.00%,80.00%," $19,206.00 "," $15,365.00 "
11/15/2021,Leon King,In Contract,Seller,Sphere of Influence,12/30/2021," $8,65,308.00 ",30.00%,3.50%,80.00%," $21,200.00 "," $16,960.00 "
11/30/2021,Christopher Jefferson,In Contract,Seller,Client Referral,01/14/2022," $7,43,143.00 ",30.00%,3.50%,80.00%," $18,207.00 "," $14,566.00 "
11/30/2021,Dexter Banks,In Contract,Buyer,Purchased Lead,01/14/2022," $7,45,843.00 ",70.00%,3.50%,80.00%," $7,831.00 "," $6,265.00 "
12/05/2021,Derek Wagner,Lost,Seller,Facebook Ads,01/19/2022," $6,79,018.00 ",25.00%,3.50%,80.00%," $17,824.00 "," $14,259.00 "
12/11/2021,Tracy Bowen,In Contract,Buyer,Open House,01/25/2022," $7,16,446.00 ",25.00%,2.50%,80.00%," $13,433.00 "," $10,747.00 "
12/14/2021,Tommy Lopez,Active,Buyer,Facebook Ads,01/28/2022," $9,13,722.00 ",50.00%,3.50%,80.00%," $15,990.00 "," $12,792.00 "
12/16/2021,Alberto Pena,In Contract,Buyer,Open House,01/30/2022," $7,31,849.00 ",70.00%,3.50%,80.00%," $7,684.00 "," $6,148.00 "
12/20/2021,Gilberto Young,Active,Seller,Open House,02/03/2022," $7,82,774.00 ",25.00%,3.50%,80.00%," $20,548.00 "," $16,438.00 "
12/24/2021,Nelson Perkins,Active,Seller,Direct Mail,02/07/2022," $7,99,067.00 ",25.00%,2.50%,80.00%," $14,983.00 "," $11,986.00 "
